Area,Code,All categories: Ethnic group,White: Total,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed/multiple ethnic group: Total,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian/Asian British: Total,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: Total,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Total,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
Warrington,E06000007,"202,228","193,992","187,968","1,357",66,"4,601","2,144",654,357,663,470,"4,911","1,803","1,179",152,849,928,694,389,214,91,487,237,250
Cumbria,E10000006,"499,858","492,257","482,124","1,552",315,"8,266","2,504",751,314,881,558,"4,066",892,316,486,"1,153","1,219",579,373,141,65,452,153,299
Bolton,E08000001,"276,786","226,645","219,794","1,694",214,"4,943","4,892","1,576",678,"1,826",812,"38,749","21,665","12,026",614,"1,423","3,021","4,652","3,451",608,593,"1,848",727,"1,121"
Bury,E08000002,"185,060","165,032","157,897","2,357",72,"4,706","3,365","1,307",444,"1,005",609,"13,407","1,387","9,002",311,"1,100","1,607","1,893","1,116",593,184,"1,363",465,898
Manchester,E08000003,"503,127","335,109","298,237","11,843",509,"24,520","23,161","8,877","4,397","4,791","5,096","85,986","11,417","42,904","6,437","13,539","11,689","43,484","25,718","9,642","8,124","15,387","9,503","5,884"
Oldham,E08000004,"224,897","174,326","169,955","1,484",62,"2,825","4,057","1,950",440,"1,131",536,"43,165","1,555","22,686","16,310",726,"1,888","2,797","1,640",839,318,552,154,398
Rochdale,E08000005,"211,699","172,874","166,481","2,131",186,"4,076","3,569","1,057",601,"1,348",563,"31,630","1,105","22,265","4,342",948,"2,970","2,770","2,131",285,354,856,308,548
Salford,E08000006,"233,933","210,862","197,445","2,882",193,"10,342","4,616","1,647","1,058",929,982,"9,429","2,553","1,843",605,"2,547","1,881","6,541","5,354",666,521,"2,485","1,425","1,060"
Stockport,E08000007,"283,275","260,819","252,044","3,938",58,"4,779","5,104","1,734",775,"1,460","1,135","13,762","2,786","6,673",705,"1,722","1,876","1,958",976,745,237,"1,632",727,905
Tameside,E08000008,"219,324","199,429","194,115","1,613",38,"3,663","3,159","1,310",506,849,494,"14,553","3,668","4,910","4,296",951,728,"1,784","1,188",371,225,399,154,245
Trafford,E08000009,"226,578","193,834","182,200","5,098",40,"6,496","6,031","2,658",669,"1,535","1,169","17,973","6,306","7,027",457,"2,232","1,951","6,540","1,807","3,802",931,"2,200","1,259",941
Wigan,E08000010,"317,849","309,193","303,519","1,459",151,"4,064","2,756","1,015",429,783,529,"3,519","1,019",676,109,891,824,"1,678","1,310",216,152,703,304,399
Lancashire,E10000017,"1,171,339","1,080,687","1,050,340","7,125",821,"22,401","12,724","4,573","1,279","4,571","2,301","71,054","19,212","36,103","5,811","4,811","5,117","4,098","1,891","1,789",418,"2,776","1,387","1,389"
Knowsley,E08000011,"145,893","141,858","140,135",747,6,970,"1,913",683,517,375,338,"1,403",467,81,10,446,399,505,297,127,81,214,98,116
